"function_name"	"title"	"usage"	"description"
"db_slq"	"Sleep Disorders from 2005 to 2019"	"db_slq(   data,   years,   how_long_to_fall_asleep_minutes = FALSE,   how_much_sleep_do_you_get_hours = FALSE,   ever_told_doctor_had_trouble_sleeping = FALSE,   ever_told_by_doctor_have_sleep_disorder = FALSE,   sleep_disorder_sleep_apnea = FALSE,   sleep_disorder_insomnia = FALSE,   sleep_disorder_restless_legs = FALSE,   sleep_disorder_other = FALSE,   how_often_do_you_snore = FALSE,   how_often_do_you_snort_or_stop_breathing = FALSE,   how_often_have_trouble_falling_asleep = FALSE,   how_often_wake_up_during_night = FALSE,   how_often_wake_up_too_early_in_morning = FALSE,   how_often_feel_unrested_during_the_day = FALSE,   how_often_feel_overly_sleepy_during_day = FALSE,   how_often_did_you_not_get_enough_sleep = FALSE,   how_often_take_pills_to_help_you_sleep = FALSE,   how_often_have_leg_jerks_while_sleeping = FALSE,   how_often_have_legs_cramp_while_sleeping = FALSE,   difficulty_concentrating_when_tired = FALSE,   difficulty_remembering_when_tired = FALSE,   difficulty_eating_when_tired = FALSE,   difficulty_with_a_hobby_when_tired = FALSE,   difficulty_getting_things_done = FALSE,   difficulty_with_finance_when_tired = FALSE,   difficulty_at_work_because_tired = FALSE,   difficulty_on_phone_when_tired = FALSE,   usual_sleep_time_on_weekdays_or_workdays = FALSE,   usual_wake_time_on_weekdays_or_workdays = FALSE,   sleep_hours_weekdays_or_workdays = FALSE,   usual_sleep_time_on_weekends = FALSE,   usual_wake_time_on_weekends = FALSE,   sleep_hours_weekends = FALSE,   Year = FALSE,   join = \"left\" )"	"Sleep Disorders from 2005 to 2019"
"db_sprint"	"population simulated by Systolic Blood Pressure Intervention Trial"	"db_sprint(data, years, Year = FALSE, join = \"left\")"	"population simulated by Systolic Blood Pressure Intervention Trial"
"db_spx"	"Spirometry - Pre and Post-Bronchodilator"	"db_spx(   data,   years,   test_status_first,   test_comment_first,   fvc_baseline_ml,   extrapolated_volume_baseline_ml,   fev_0.5_baseline_ml,   fev_0.75_baseline_ml,   fev_1_baseline_ml,   fev_3_baseline_ml,   fev_6_baseline_ml,   pef_baseline_ml.s,   fef_25.75_baseline_ml.s,   forced_expiratory_time_baseline_s,   fvc_quality_attribute_baseline,   fev1_quality_attribute_baseline,   number_of_acceptable_curves_baseline,   effort_quality_attribute_baseline,   selected_for_bronchodilator,   spirometry_second_test_status,   spirometry_second_test_comment,   fvc_2nd_ml,   extrapolated_volume_2nd_ml,   fev_0.5_2nd_ml,   fev_0.75_2nd_ml,   fev_1_2nd_ml,   fev_3_2nd_ml,   fev_6_2nd_ml,   pef_2nd_ml.s,   fef_25.75_2nd_ml.s,   forced_expiratory_time_2nd_s,   fvc_quality_attribute_2nd,   fev1_quality_attribute_2nd,   number_of_acceptable_curves_2nd,   effort_quality_attribute_2nd,   Year = FALSE,   join = \"left\" )"	"Spirometry - Pre and Post-Bronchodilator"
"db_tea"	"tea consumption"	"db_tea(   data,   years,   day = 1,   fun = c(\"mean\", \"alone\", \"sum\"),   unit = c(\"gram\", \"kcal\", \"cup\"),   sweeten = FALSE,   caffeinate = FALSE,   green = FALSE,   black = FALSE,   oolong = FALSE,   iced = FALSE,   hot = FALSE,   normT = FALSE,   leaf = FALSE,   instant = FALSE,   bottle = FALSE,   both2days = TRUE,   food.code = NULL,   Year = FALSE,   join = \"left\" )"	"tea consumption"
"db_urine.alb.cr"	"Albumin & Creatinine - Urine"	"db_urine.alb.cr(   data,   years,   albumin_urine_mg.l = FALSE,   albumin_urine_ug.ml = FALSE,   creatinine_urine_mg.dl = FALSE,   creatinine_urine_umol.l = FALSE,   uACR_mg.g = FALSE,   Year = FALSE,   join = \"left\" )"	"Albumin & Creatinine - Urine"
"delet_masc"	""	"delet_masc(...)"	""
"delete_variable"	""	"delete_variable(...)"	""
"delete_variable_rcs_keepx"	""	"delete_variable_rcs_keepx(...)"	""
"design4matchit"	"extract weight for matchit"	"design4matchit(design)"	"extract weight for matchit"
"deviance_svycoxph"	""	"deviance_svycoxph(...)"	""
"dex_ABPI"	"Ankle Brachial Blood Pressure Index"	"dex_ABPI(   data,   years,   left_abpi = TRUE,   right_abpi = TRUE,   Year = FALSE,   join = \"left\" )"	"Ankle Brachial Blood Pressure Index"
"dex_ABSI"	"a body shape index ABSI"	"dex_ABSI(data, years, Year = FALSE, join = \"left\")"	"a body shape index ABSI"
"dex_AHA.PREVENT"	"AHA.PREVENT"	"dex_AHA.PREVENT(   data,   years,   CVD_10yr.risk = F,   ASCVD_10yr.risk = F,   HF_10yr.risk = F,   component = F,   Year = F,   join = \"left\" )"	"AHA.PREVENT"
"dex_AIP"	"atherogenic index of plasma"	"dex_AIP(   data = NULL,   years,   weight = FALSE,   Year = FALSE,   join = \"left\",   cat = TRUE )"	"atherogenic index of plasma"
"dex_animal.protein"	""	"dex_animal.protein(...)"	""
"dex_ASCVD.h10yr"	"ONLY white people, 10-Year Risk of a First Hard ASCVD Event"	"dex_ASCVD.h10yr(   data,   years,   age = \"[40,79]\",   restrict.Race = TRUE,   component = FALSE,   weight = FALSE,   Year = FALSE,   join = \"left\" )"	"ONLY white people, 10-Year Risk of a First Hard ASCVD Event"
"dex_BARD"	"BARD score for non-alcoholic liver disease (NAFLD)"	"dex_BARD(data, years, Year = FALSE, join = \"left\")"	"BARD score for non-alcoholic liver disease (NAFLD)"
"dex_BiologicalAge"	"Biological Age"	"dex_BiologicalAge(data, biomarkers = NULL, by = NULL)"	"Biological Age"
"dex_body.fat.percentage"	"body fat percentage"	"dex_body.fat.percentage(data, years, Year = FALSE, join = \"left\")"	"body fat percentage"
"dex_BRI"	"Body roundness index BRI,pmid:23519954"	"dex_BRI(data, years, Year = FALSE, join = \"left\")"	"Body roundness index BRI,pmid:23519954"
"dex_CALLY"	"CALLY"	"dex_CALLY(   data,   years,   all = FALSE,   CALLY = T,   crp,   alb,   lym,   Year = F,   join = \"left\" )"	"从1999到2009年，参考文献pmid: 34244053"
"dex_CCI"	"Charlson Comorbidity Index"	"dex_CCI(data, years, cci_number = FALSE, Year = FALSE, join = \"left\")"	"Charlson Comorbidity Index"
"dex_CDAI"	"Composite Dietary Antioxidant Index"	"dex_CDAI(   data,   years,   day = 1,   both2days = T,   component = FALSE,   Year = FALSE,   join = \"left\",   round = 3 )"	"Composite Dietary Antioxidant Index"
"dex_CMDS"	"cardiometabolic disease staging system"	"dex_CMDS(data, years, weight = FALSE, Year = FALSE, join = \"left\")"	"cardiometabolic disease staging system"
"dex_CMI"	"Cardiometabolic index (CMI)"	"dex_CMI(   data,   years,   CMI,   tg_mmol.L,   hdl_mmol.L,   WHtR,   Year = FALSE,   join = \"left\" )"	"Cardiometabolic index (CMI)"
"dex_CONUT"	"Controlling Nutritional Status"	"dex_CONUT(data, years, Year = FALSE, join = \"left\")"	"Controlling Nutritional Status"
"dex_DASH.Mellen"	"Dietary Approaches to Stop Hypertension DASH score, 0-9 by Mellen"	"dex_DASH.Mellen(   data,   years,   day = 1,   both2days = T,   component = F,   Year = FALSE,   join = \"left\" )"	"Dietary Approaches to Stop Hypertension DASH score, 0-9 by Mellen"
"dex_DI_GM"	"DI_GM"	"dex_DI_GM(   data,   years,   day = 1,   score = F,   component = F,   Year = FALSE,   join = \"left\" )"	"只能从2007年开始计算，因为官方没有提供2007年之前红肉和加工肉计算的方法。（Dietary Index for Gut Microbiota，肠道微生物群膳食指数）, 树老师V：Charleszhanggo"
"dex_DII"	"calculate dietary inflammatory index"	"dex_DII(   data,   years,   day = 1,   rawComponet = FALSE,   both2days = F,   cat = TRUE,   Year = FALSE,   join = \"left\" )"	"calculate dietary inflammatory index"
"dex_eGDR"	"估计的葡萄糖处理率eGDR"	"dex_eGDR(data = NULL, all = FALSE, years, eGDR = T, Year = F, join = \"left\")"	"参考文献PMID: 10871201"
"dex_eGFR"	"Caculate eGFR"	"dex_eGFR(data, years, method = \"CKD_EPI_Scr_2009\", Year = FALSE, join = \"left\")"	"Caculate eGFR"
"dex_ePWV"	"Estimated Pulse Wave Velocity"	"dex_ePWV(data, years, Year = FALSE, join = \"left\", component = F)"	"Estimated Pulse Wave Velocity"
"dex_fasting.time"	"禁食时间"	"dex_fasting.time(   data = NULL,   years,   day = 1,   fasting.time = T,   Year = F,   join = \"left\" )"	"参考文献：pmid:39300516"
"dex_fat.mass"	"fat mass"	"dex_fat.mass(data, years, Year = FALSE, join = \"left\")"	"fat mass"
"dex_FIB.4"	"FIB-4"	"dex_FIB.4(data, years, Year = FALSE, join = \"left\")"	"FIB-4"
"dex_fii"	"Food inflammation index"	"dex_fii(data = NULL, all = FALSE, day = 1, years, Year = F, join = \"left\")"	"参考文献PMID: 39401693"
"dex_FLI"	"fatty liver index"	"dex_FLI(data, years, Year = FALSE, join = \"left\")"	"fatty liver index"
"dex_Frailty"	"Frailty Index"	"dex_Frailty(data, years, component = FALSE)"	"Frailty Index"
"dex_FS"	"Forns score"	"dex_FS(data, years, Year = FALSE, join = \"left\", weight = FALSE)"	"Forns score"
"dex_FSI"	"framingham steatosis index (fsi)"	"dex_FSI(data, years, Year = FALSE, join = \"left\", weight = FALSE)"	"framingham steatosis index (fsi)"
"dex_GNRI"	"Geriatric Nutritional Risk Index, GNRI"	"dex_GNRI(data, years, cut, method = c(\"22\", \"105\", \"wlo\"))"	"Geriatric Nutritional Risk Index, GNRI"
"dex_GPS"	"Glasgow Prognostic Score and modified GPS GPS"	"dex_GPS(data, years, Year = FALSE, join = \"left\")"	"Glasgow Prognostic Score and modified GPS GPS"
"dex_HeartAge"	"Heart Age/vascular age/ CVD 10 years risk"	"dex_HeartAge(   data,   years,   CVD.10yr.risk = FALSE,   component = FALSE,   points_var = FALSE,   Year = FALSE,   join = \"left\" )"	"Heart Age/vascular age/ CVD 10 years risk"
"dex_HEI"	"Calculate Healthy Eating Index"	"dex_HEI(   data,   years,   version = c(\"2015\", \"2010\"),   method = c(\"ssum\", \"pratio\"),   dietary = c(\"tot\", \"iff\"),   day = 1,   both2days = F,   varLabel = FALSE,   energy = TRUE,   component = TRUE,   density = FALSE,   seed = NULL )"	"Calculate Healthy Eating Index"
"dex_high.quality.carbohydrate"	""	"dex_high.quality.carbohydrate(...)"	""
"dex_HOMA"	"Homeostasis model assessment"	"dex_HOMA(   data,   years,   IR = TRUE,   IS = TRUE,   beta = TRUE,   fglu = FALSE,   finsulin = FALSE,   Year = FALSE,   join = \"left\" )"	"Homeostasis model assessment"
"dex_HSI"	"hepatic steatosis index"	"dex_HSI(data, years, Year = FALSE, join = \"left\")"	"hepatic steatosis index"
"dex_LAP"	"lipid accumulation product age >= 18"	"dex_LAP(data, years, Year = FALSE, join = \"left\")"	"lipid accumulation product age >= 18"
"dex_LC9"	"Life’s Crucial 9 age over and equal 20 years population"	"dex_LC9(data, years, day = 1, componet = FALSE, Year = FALSE, join = \"left\")"	"Life’s Crucial 9 age over and equal 20 years population"
"dex_LE8"	"Life Essential 8 age over and equal 20 years population"	"dex_LE8(data, years, day = 1, componet = FALSE, Year = FALSE, join = \"left\")"	"Life Essential 8 age over and equal 20 years population"
"dex_lean.mass"	"lean mass"	"dex_lean.mass(data, years, Year = FALSE, join = \"left\")"	"lean mass"
"dex_low.qulity.carbohydrate"	""	"dex_low.qulity.carbohydrate(...)"	""
"dex_LS7"	"Life's Simple 7"	"dex_LS7(   data,   years,   count = FALSE,   component_score = FALSE,   component_raw = FALSE,   hei_version = 2010,   Year = FALSE,   join = \"left\" )"	"Life's Simple 7"
"dex_MAO"	"metabolically abnormal obese"	"dex_MAO(data, years, Year = FALSE, yes1 = FALSE, join = \"left\")"	"metabolically abnormal obese"
"dex_METS.IR"	"metabolic Score for Insulin Resistance"	"dex_METS.IR(data, years, Year = FALSE, join = \"left\")"	"metabolic Score for Insulin Resistance"
"dex_METS.VF"	"Metabolic Score for Visceral Fat"	"dex_METS.VF(data, years, Year = FALSE, join = \"left\")"	"Metabolic Score for Visceral Fat"
"dex_MgDS"	"Magnesium Depletion Score"	"dex_MgDS(data, years, component = FALSE, Year = FALSE, join = \"left\")"	"Magnesium Depletion Score"
"dex_MHO"	"metabolically healthy obese"	"dex_MHO(data, years, Year = FALSE, yes1 = FALSE, join = \"left\")"	"metabolically healthy obese"
"dex_MMII"	"MMII尿金属混合物炎症指数"	"dex_MMII(data = NULL, years, MMII = T, component = F, Year = F, join = \"left\")"	"参考文献PMID: 38977088，参考补充表格s7"
"dex_MQI"	"Muscle quality index"	"dex_MQI(   data,   years,   MQI.total = TRUE,   MQI.app = FALSE,   MQI.arm = FALSE,   ASM = FALSE,   ASMI = FALSE,   Year = FALSE,   QC = TRUE,   GF.dominant = FALSE,   join = \"left\" )"	"Muscle quality index"
"dex_Muscle.strength"	"Muscle strength"	"dex_Muscle.strength(   data,   years,   activity = FALSE,   times = FALSE,   MET = FALSE,   week = TRUE,   Year = FALSE,   join = \"left\" )"	"Muscle strength"
"dex_NAFLD.LFS"	"NAFLD Liver Fat Score NAFLD Liver Fat Score"	"dex_NAFLD.LFS(   data,   years,   Year = FALSE,   Mets = c(\"IDF2006\", \"ATP\", \"IDF2009\", \"Harm\"),   join = \"left\",   cat = TRUE,   component = FALSE )"	"NAFLD Liver Fat Score NAFLD Liver Fat Score"
"dex_NFS"	"NAFLD fibrosis score"	"dex_NFS(data, years, Year = FALSE, join = \"left\", weight = FALSE)"	"NAFLD fibrosis score"
"dex_NLR"	"NLR 中性粒细胞淋巴细胞比值"	"dex_NLR(data = NULL, all = FALSE, years, NLR, Year = F, join = \"left\")"	"NLR 中性粒细胞淋巴细胞比值"
"dex_NPS"	"Naples Prognostic Score"	"dex_NPS(data, years, Year = FALSE, join = \"left\")"	"Naples Prognostic Score"
"dex_OBS"	"Oxidative Balance Score"	"dex_OBS(   data,   years,   day = c(1, 2),   OBS.dietary = FALSE,   OBS.lifestyle = FALSE,   component = FALSE,   score = FALSE,   Year = FALSE,   join = \"left\",   cat = T )"	"Oxidative Balance Score"
"dex_PAiaf"	"Physical Activity Individual Activities File"	"dex_PAiaf(   data,   years,   activity = FALSE,   level = FALSE,   times = FALSE,   duration = FALSE,   mets = FALSE,   weight_type = FALSE,   PA_iaf = FALSE,   Year = FALSE,   week = FALSE,   join = \"left\" )"	"Physical Activity Individual Activities File"
"dex_phenoAge"	"phenotypic age by Levine 1999 - 2009"	"dex_phenoAge(data, years, component = FALSE, Year = FALSE, join = \"left\")"	"phenotypic age by Levine 1999 - 2009"
"dex_PhysicalActivity"	"Physical Activity walk or bicycle + task around home or yard + muscle strength + work activity + recreational activity"	"dex_PhysicalActivity(   data,   years,   all.5 = FALSE,   walk_bicycle = FALSE,   Tasks.HomeYard = FALSE,   Muscle.strength = FALSE,   WorkActivity = FALSE,   RecreationalActivity = FALSE,   activity = FALSE,   time = FALSE,   MET = FALSE,   week = TRUE,   direction = c(\"m\", \"v\", \"no\"),   total_time,   total_MET,   component = FALSE,   Year = FALSE,   join = \"left\" )"	"Physical Activity walk or bicycle + task around home or yard + muscle strength + work activity + recreational activity"
"dex_plant.protein"	""	"dex_plant.protein(...)"	""
"dex_PLF"	"Percentage of Liver fat"	"dex_PLF(data, years, Year = FALSE, join = \"left\")"	"Percentage of Liver fat"
"dex_PLR"	"PLR 血小板淋巴细胞比值"	"dex_PLR(data = NULL, all = FALSE, years, PLR = T, Year = F, join = \"left\")"	"PLR 血小板淋巴细胞比值"
"dex_PRAL.NEAP"	"Potential renal acid load and  net endogenous acid production mEq/d. using the calculation model by Remer and Manz"	"dex_PRAL.NEAP(   data,   years,   day = 1,   both2days = TRUE,   fun = c(\"mean\", \"sum\", \"alone\"),   Year = FALSE,   join = \"left\",   component = FALSE )"	"Potential renal acid load and  net endogenous acid production mEq/d. using the calculation model by Remer and Manz"
"dex_RecreationalActivity"	"recreational activity"	"dex_RecreationalActivity(   data,   years,   activity = FALSE,   time = FALSE,   MET = FALSE,   direction = c(\"m\", \"v\", \"no\"),   Year = FALSE,   join = \"left\" )"	"recreational activity"
"dex_SARC.F"	"SARC-F"	"dex_SARC.F(data, years, component = F, Year = FALSE, join = \"left\")"	"SARC-F"
"dex_SDoH"	"健康的社会决定因素SDoH"	"dex_SDoH(data, years, score = F, component = F, Year = F, join = \"left\")"	"树老师微信：Charleszhanggo  从2003年开始，没有2019年  参考文献PMID: 37244672"
"dex_SHR"	"SHR"	"dex_SHR(   data = NULL,   years,   SHR = T,   glucose_mg.dL = F,   HbA1c = F,   Year = F,   join = \"left\" )"	"方法学描述参考这篇文献，pmid：40128747"
"dex_SII"	"Systemic immune-inflammation index"	"dex_SII(data, years, Year = FALSE, join = \"left\")"	"Systemic immune-inflammation index"
"dex_Tasks.HomeYard"	"Tasks.HomeYard Tasks around Home/Yard  metabolic equivalent"	"dex_Tasks.HomeYard(   data,   years,   activity = FALSE,   time = FALSE,   MET = FALSE,   week = TRUE,   direction = c(\"m\", \"v\", \"no\"),   Year = FALSE,   join = \"left\" )"	"Tasks.HomeYard Tasks around Home/Yard  metabolic equivalent"
"dex_TyG"	"fasting triglycerides and glucose index"	"dex_TyG(data, years, Year = FALSE, join = \"left\")"	"参考文献pmid: 19067533"
"dex_ulb"	"Unhealthy lifestyle behaviors"	"dex_ulb(   data,   years,   component = FALSE,   weight = FALSE,   Year = FALSE,   join = \"left\" )"	"Unhealthy lifestyle behaviors"
"dex_usFLI"	"fatty liver index"	"dex_usFLI(data, years, Year = FALSE, join = \"left\")"	"fatty liver index"
"dex_VAI"	"Visceral Adiposity Index(VAI)"	"dex_VAI(data, years)"	"Visceral Adiposity Index(VAI)"
"dex_VAT"	"visceral fat"	"dex_VAT(data, years, Year = FALSE, join = \"left\")"	"visceral fat"
"dex_walk_bicycle"	"walk_bicycle walk bicycle metabolic equivalent"	"dex_walk_bicycle(   data,   years,   activity = FALSE,   time = FALSE,   MET = FALSE,   week = TRUE,   direction = c(\"m\", \"v\", \"no\"),   Year = FALSE,   join = \"left\" )"	"walk_bicycle walk bicycle metabolic equivalent"
"dex_WHR"	"腰臀比"	"dex_WHR(data, years, Year = FALSE, join = \"left\")"	"腰臀比"
"dex_WHtR"	"腰身高比"	"dex_WHtR(data, years, Year = FALSE, join = \"left\")"	"腰身高比"
"dex_WorkActivity"	"work activity"	"dex_WorkActivity(   data,   years,   activity = FALSE,   time = FALSE,   MET = FALSE,   direction = c(\"m\", \"v\", \"no\"),   Year = FALSE,   join = \"left\" )"	"work activity"
"dex_YJP"	"Young Jin Park"	"dex_YJP(data, years, cut = 4, Year = FALSE, cat = TRUE, join = \"left\")"	"Young Jin Park"
"dex_ZJU"	"ZJU index a novel model for detecting NAFLD (nonalcoholic fatty liver disease)"	"dex_ZJU(data, years, Year = FALSE, join = \"left\")"	"ZJU index a novel model for detecting NAFLD (nonalcoholic fatty liver disease)"
"df.tolower"	""	"df.tolower(...)"	""
"diag_ACO"	"Asthma/COPD overlap"	"diag_ACO(data, years, Year = FALSE, join = \"left\")"	"Asthma/COPD overlap"
"diag_alcohol.associated.liver.disease"	"alcohol associated liver disease"	"diag_alcohol.associated.liver.disease(   data,   years,   yes1 = FALSE,   colname = \"alcohol.associated.liver.disease\",   Year = FALSE,   join = \"left\" )"	"alcohol associated liver disease"
"diag_alcohol.user"	"alcohol user"	"diag_alcohol.user(   data,   years,   mild = c(1, 2),   moderate = c(2, 3),   heavy = c(3, 4),   binge = TRUE,   Year = FALSE,   join = \"left\" )"	"alcohol user"
"diag_Anemia"	"Anemia at sea level"	"diag_Anemia(data, years, Year = FALSE, join = \"left\")"	"According to WHO standards, four grades of anemia for children, Pregnant women, non-Pregnant women and men."
"diag_angina"	"angina"	"diag_angina(   data,   years,   angina = TRUE,   angina.Age = FALSE,   yes1 = FALSE,   Year = FALSE,   join = \"left\" )"	"angina"
"diag_arthritis"	"arthritis"	"diag_arthritis(   data,   years,   arthritis = FALSE,   arghritis_age = FALSE,   arghritis_type = FALSE,   rheumatoid_arthritis,   psoriatic_arthritis,   osteoarthritis_or_degenerative_arthritis,   Year = FALSE,   join = \"left\" )"	"arthritis"
"diag_ASCVD"	"arteriosclerotic cardiovascular disease"	"diag_ASCVD(   data,   years,   early_ASCVD = FALSE,   early_male = 55,   early_female = 60,   Year = FALSE,   join = \"left\" )"	"arteriosclerotic cardiovascular disease"
"diag_Asthma"	"Asthma"	"diag_Asthma(   data,   years,   told = TRUE,   drug = TRUE,   cat = TRUE,   yes1 = FALSE,   Year = FALSE,   join = \"left\" )"	"Asthma"
"diag_atopic"	"diagnosis of atopic if 2005"	"diag_atopic(data, cut.off = 0.35, component = F, Year = F)"	"diagnosis of atopic if 2005"
"diag_binge"	"binge drink how much days you binge"	"diag_binge(data, years, month = TRUE, Year = FALSE, join = \"left\")"	"binge drink how much days you binge"
"diag_CKD"	"chronic kidney disease"	"diag_CKD(   data,   years,   ckd = c(\"A2\", \"G3a\"),   show_CKD = TRUE,   show_prognosis = TRUE,   show_ACR = FALSE,   show_eGFR = FALSE,   eGFR_method = \"CKD_EPI_Scr_2009\",   yes1 = FALSE,   Year = FALSE,   join = \"left\" )"	"chronic kidney disease"
"diag_CKM"	"CKM"	"diag_CKM(data, years, component = F, Year = F, join = \"left\")"	"CKM"
"diag_congestive.heart.failure"	"congestive heart failure"	"diag_congestive.heart.failure(   data,   years,   yes1 = FALSE,   Year = FALSE,   join = \"left\" )"	"congestive heart failure"
"diag_COPD"	"Chronic Obstructive Pulmonary Disease"	"diag_COPD(   data,   years,   told = T,   emphysema = TRUE,   spx = TRUE,   drug = TRUE,   cat = TRUE,   Year = FALSE,   yes1 = FALSE,   join = \"left\" )"	"Chronic Obstructive Pulmonary Disease"
"diag_coronary.heart.disease"	"coronary heart disease"	"diag_coronary.heart.disease(   data,   years,   coronary.heart.disease = TRUE,   coronary.heart.disease.Age = FALSE,   Year = FALSE,   join = \"left\" )"	"coronary heart disease"
"diag_CVD"	"Cardiovascular Disease"	"diag_CVD(data, years, Year = FALSE, join = \"left\")"	"Cardiovascular Disease"
"diag_DM"	"attach Diabetes Mellitus"	"diag_DM(   data,   years,   told = TRUE,   HbA1c = TRUE,   fast_glu = TRUE,   OGTT2 = TRUE,   rand_glu = TRUE,   drug = TRUE,   DM1 = FALSE,   cat = TRUE,   Year = FALSE,   join = \"left\",   exclude_Pregnant = TRUE )"	"attach Diabetes Mellitus"
"diag_epilepsy"	"epilepsy by icd10 code of G40(epilepsy and recurrent seizures) Years must be after 2013"	"diag_epilepsy(   data,   years,   yes1 = FALSE,   take_drug = FALSE,   DrugNumber = FALSE,   drugname = FALSE,   remove.other = TRUE,   dup.take.drug = c(\"paste\", \"remove\", \"keep\"),   Year = FALSE,   join = \"left\" )"	"epilepsy by icd10 code of G40(epilepsy and recurrent seizures) Years must be after 2013"
"diag_Familial.Hypercholesterolemia"	"familial hypercholesterolaemia"	"diag_Familial.Hypercholesterolemia(   data,   years,   class = TRUE,   score = FALSE,   Year = FALSE,   join = \"left\" )"	"Dutch Lipid Clinic Network diagnostic criteria for familial hypercholesterolaemia"
"diag_Fibrillation"	"Fibrillation"	"diag_Fibrillation(data, years, Year = FALSE, join = \"left\")"	"Fibrillation"
"diag_heart.attack"	"heart attack by mcq160e or spq070e"	"diag_heart.attack(   data,   years,   heart.attack = TRUE,   heart.attack.Age = FALSE,   Year = FALSE,   join = \"left\" )"	"heart attack by mcq160e or spq070e"
"diag_Hyperlipidemia"	"Hyperlipidemia"	"diag_Hyperlipidemia(data, years, yes1 = FALSE, Year = FALSE, join = \"left\")"	"Hyperlipidemia"
"diag_Hypertension"	"attach Hypertension"	"diag_Hypertension(   data,   years,   told = TRUE,   drug = TRUE,   bpx = TRUE,   method = c(\"mean\", \"times\"),   systolic = 140,   diastolic = 90,   n = 3,   component = FALSE,   yes1 = FALSE,   cat = TRUE,   Year = FALSE,   join = \"left\" )"	"attach Hypertension"
"diag_hypoparathyroidism"	"hypoparathyroidism for 2003 and 2005"	"diag_hypoparathyroidism(data, years, Year = FALSE, join = \"left\")"	"hypoparathyroidism for 2003 and 2005"
"diag_icd10"	"icd10 by icd code and description"	"diag_icd10(   ...,   data,   years,   Year = FALSE,   join = \"left\",   colname = \"target\",   yes1 = FALSE,   icd10 = FALSE )"	"icd10 by icd code and description"
"diag_infertility"	"infertility start from 2013"	"diag_infertility(   data,   years,   infertility_care = FALSE,   Year = FALSE,   join = \"left\" )"	"infertility start from 2013"
"diag_MAFLD"	"Metabolic (dysfunction) associated fatty liver disease (MAFLD)"	"diag_MAFLD(   data,   years,   steatosis = FALSE,   second3 = FALSE,   met = FALSE,   CAP.cutoff = 248,   above.equal = FALSE,   cat = TRUE,   Year = FALSE,   join = \"left\" )"	"Metabolic (dysfunction) associated fatty liver disease (MAFLD)"
"diag_MAFLD.FLI"	"Metabolic (dysfunction) associated fatty liver disease (MAFLD)"	"diag_MAFLD.FLI(   data,   years,   steatosis = FALSE,   second3 = FALSE,   met = FALSE,   cutoff.FLI = NULL,   cat = TRUE,   Year = FALSE,   join = \"left\" )"	"使用FLI来诊断MAFLD"
"diag_MAFLD.usFLI"	"Metabolic (dysfunction) associated fatty liver disease (MAFLD)"	"diag_MAFLD.usFLI(   data,   years,   steatosis = FALSE,   second3 = FALSE,   met = FALSE,   cutoff.usFLI = NULL,   cat = TRUE,   Year = FALSE,   join = \"left\" )"	"使用usFLI来诊断MAFLD"
"diag_MASLD.cap"	"cap diagnoses Metabolic Dysfunction Associated Steatotic Liver Disease in adults MASLD"	"diag_MASLD.cap(data, years, cutoff.cap = 248, Year = FALSE, join = \"left\")"	"cap diagnoses Metabolic Dysfunction Associated Steatotic Liver Disease in adults MASLD"
"diag_MASLD.FLI"	"FLI diagnoses Metabolic Dysfunction Associated Steatotic Liver Disease in adults"	"diag_MASLD.FLI(data, years, cutoff.FLI = NULL, Year = FALSE, join = \"left\")"	"MASLD"
"diag_MASLD.usFLI"	"usFLI diagnoses Metabolic Dysfunction Associated Steatotic Liver Disease in adults MASLD"	"diag_MASLD.usFLI(data, years, cutoff.usFLI = 30, Year = FALSE, join = \"left\")"	"usFLI diagnoses Metabolic Dysfunction Associated Steatotic Liver Disease in adults MASLD"
"diag_MetS"	"Attach Metabolic Syndrome"	"diag_MetS(   data,   years,   methods = c(\"ATP\", \"IDF2006\", \"IDF2009\", \"Harm\"),   component = FALSE,   yes1 = FALSE,   join = \"left\",   Year = FALSE,   cat = TRUE )"	"Attach Metabolic Syndrome"
"diag_mFried.frailty"	"modified Fried frailty"	"diag_mFried.frailty(   data = NULL,   all = FALSE,   years,   Fried.frailty,   Fried.frailty_count,   weakness,   low.pa,   exhaustion,   slow.walking.speed,   weight.change,   Year = F,   join = \"left\" )"	"参考文献pmid:34470533"
"diag_NAFLD"	"Nonalcoholic fatty liver disease"	"diag_NAFLD(   data,   years,   cap.cutoff = 248,   colname = \"Nonalcoholic.fatty.liver.disease\",   Year = FALSE,   join = \"left\" )"	"Nonalcoholic fatty liver disease"
"diag_OSAS.3"	"obstructive sleep apnea(2005-2008, 2015-2018)"	"diag_OSAS.3(data, years, Year = FALSE, join = \"left\", component = F)"	"obstructive sleep apnea(2005-2008, 2015-2018)"
"diag_OSAS.3a"	"obstructive sleep apnea(2005-2008) 3 key signs and apnea"	"diag_OSAS.3a(data, years, Year = FALSE, join = \"left\", component = F)"	"obstructive sleep apnea(2005-2008) 3 key signs and apnea"
"diag_OSAS.3ha"	"obstructive sleep apnea(2005-2008) 3 key signs with hypertension and apnea"	"diag_OSAS.3ha(data, years, Year = FALSE, join = \"left\", component = F)"	"obstructive sleep apnea(2005-2008) 3 key signs with hypertension and apnea"
