"function_name"	"object_type"	"category"	"help_topic"	"title"	"usage"	"description"	"standard_call"
"db_micro.Fungus_subj.t"	"function"	"raw_extract"	"db_micro.Fungus_subj.t"	"感染：真菌"	"db_micro.Fungus_subj.t( all = FALSE, subject_id, hadm_id, micro_specimen_id, chartdate, charttime, spec_type_desc, test_seq, storedate, storetime, test_name, org_name, org_itemid, isolate_num, quantity, ab_name, dilution_text, dilution_comparison, dilution_value, interpretation, comments, dayn = NULL, YesNo = F, view = T )"	"感染：真菌"	"db_micro.Fungus_subj.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, micro_specimen_id = NULL, chartdate = FALSE, charttime = FALSE, spec_type_desc = FALSE, test_seq = FALSE, storedate = FALSE, storetime = FALSE, test_name = FALSE, org_name = FALSE, org_itemid = FALSE, isolate_num = FALSE, quantity = FALSE, ab_name = FALSE, dilution_text = FALSE, dilution_comparison = FALSE, dilution_value = FALSE, interpretation = FALSE, comments = FALSE, dayn = NULL, YesNo = F, view = T)"
"db_micro.K.pneu_subj.t"	"function"	"raw_extract"	"db_micro.K.pneu_subj.t"	"感染：肺炎克雷伯菌"	"db_micro.K.pneu_subj.t( all = FALSE, subject_id, micro_specimen_id, chartdate, charttime, spec_type_desc, test_seq, storedate, storetime, test_name, org_name, org_itemid, isolate_num, quantity, ab_name, dilution_text, dilution_comparison, dilution_value, interpretation, comments, onlyK.pneu = F, dayn = NULL, YesNo = F )"	"感染：肺炎克雷伯菌"	"db_micro.K.pneu_subj.t(all = FALSE, subject_id = FALSE, micro_specimen_id = NULL, chartdate = FALSE, charttime = FALSE, spec_type_desc = FALSE, test_seq = FALSE, storedate = FALSE, storetime = FALSE, test_name = FALSE, org_name = FALSE, org_itemid = FALSE, isolate_num = FALSE, quantity = FALSE, ab_name = FALSE, dilution_text = FALSE, dilution_comparison = FALSE, dilution_value = FALSE, interpretation = FALSE, comments = FALSE, onlyK.pneu = F, dayn = NULL, YesNo = F)"
"db_micro.MRSA_subj.t"	"function"	"raw_extract"	"db_micro.MRSA_subj.t"	"感染：MRSA"	"db_micro.MRSA_subj.t( all = FALSE, subject_id, micro_specimen_id, chartdate, charttime, spec_type_desc, test_seq, storedate, storetime, test_name, org_name, org_itemid, isolate_num, quantity, ab_name, dilution_text, dilution_comparison, dilution_value, interpretation, comments, onlyMRSA = F, dayn = NULL, YesNo = F )"	"感染：MRSA"	"db_micro.MRSA_subj.t(all = FALSE, subject_id = FALSE, micro_specimen_id = NULL, chartdate = FALSE, charttime = FALSE, spec_type_desc = FALSE, test_seq = FALSE, storedate = FALSE, storetime = FALSE, test_name = FALSE, org_name = FALSE, org_itemid = FALSE, isolate_num = FALSE, quantity = FALSE, ab_name = FALSE, dilution_text = FALSE, dilution_comparison = FALSE, dilution_value = FALSE, interpretation = FALSE, comments = FALSE, onlyMRSA = F, dayn = NULL, YesNo = F)"
"db_microbiology_d.subj.t"	"function"	"raw_extract"	"db_microbiology_d.subj.t"	"microbiologyevents"	"db_microbiology_d.subj.t( ..., all = FALSE, subject_id, hadm_id, micro_specimen_id, chartdate, charttime, spec_type_desc, test_seq, storedate, storetime, test_name, org_name, org_itemid, isolate_num, quantity, ab_name, dilution_text, dilution_comparison, dilution_value, interpretation, comments, view = T )"	"microbiologyevents"	"db_microbiology_d.subj.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, micro_specimen_id = NULL, chartdate = FALSE, charttime = FALSE, spec_type_desc = FALSE, test_seq = FALSE, storedate = FALSE, storetime = FALSE, test_name = FALSE, org_name = FALSE, org_itemid = FALSE, isolate_num = FALSE, quantity = FALSE, ab_name = FALSE, dilution_text = FALSE, dilution_comparison = FALSE, dilution_value = FALSE, interpretation = FALSE, comments = FALSE, view = T)"
"db_omr_subj.t"	"function"	"raw_extract"	"db_omr_subj.t"	"提取omr"	"db_omr_subj.t( all = FALSE, subject_id = T, chartdate = T, seq_num, result_name, result_value )"	"提取omr"	"db_omr_subj.t(all = FALSE, subject_id = T, chartdate = T, seq_num = FALSE, result_name = FALSE, result_value = FALSE)"
"db_output.events_d.icu.t"	"function"	"raw_extract"	"db_output.events_d.icu.t"	"outputevents"	"db_output.events_d.icu.t( ..., all = FALSE, subject_id, hadm_id, stay_id = T, charttime, storetime, itemid, value, valueuom, view = T )"	"outputevents"	"db_output.events_d.icu.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, stay_id = T, charttime = FALSE, storetime = FALSE, itemid = FALSE, value = FALSE, valueuom = FALSE, view = T)"
"db_patients"	"function"	"raw_extract"	"db_patients"	"patients"	"db_patients( all = FALSE, subject_id, gender, anchor_age, anchor_year, anchor_year_group, dod )"	"patients"	"db_patients(all = FALSE, subject_id = FALSE, gender = FALSE, anchor_age = FALSE, anchor_year = FALSE, anchor_year_group = FALSE, dod = FALSE)"
"db_pharmacy_D.hadm.t"	"function"	"raw_extract"	"db_pharmacy_D.hadm.t"	"pharmacy"	"db_pharmacy_D.hadm.t( ..., all = FALSE, subject_id, hadm_id, poe_id, pharmacy_id, starttime, stoptime, medication, proc_type, status, entertime, verifiedtime, route, frequency, disp_sched, infusion_type, sliding_scale, lockout_interval, basal_rate, one_hr_max, doses_per_24_hrs, duration, duration_interval, expiration_value, expiration_unit, expirationdate, dispensation, fill_quantity, view = T )"	"pharmacy"	"db_pharmacy_D.hadm.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, poe_id = FALSE, pharmacy_id = FALSE, starttime = FALSE, stoptime = FALSE, medication = FALSE, proc_type = FALSE, status = FALSE, entertime = FALSE, verifiedtime = FALSE, route = FALSE, frequency = FALSE, disp_sched = FALSE, infusion_type = FALSE, sliding_scale = FALSE, lockout_interval = FALSE, basal_rate = FALSE, one_hr_max = FALSE, doses_per_24_hrs = FALSE, duration = FALSE, duration_interval = FALSE, expiration_value = FALSE, expiration_unit = FALSE, expirationdate = FALSE, dispensation = FALSE, fill_quantity = FALSE, view = T)"
"db_poe_hadm.t"	"function"	"raw_extract"	"db_poe_hadm.t"	"poe"	"db_poe_hadm.t( data = NULL, all = FALSE, poe_id, poe_seq, subject_id, hadm_id, ordertime, order_type, order_subtype, transaction_type, discontinue_of_poe_id, discontinued_by_poe_id, order_status )"	"poe"	"db_poe_hadm.t(data = NULL, all = FALSE, poe_id = FALSE, poe_seq = FALSE, subject_id = FALSE, hadm_id = FALSE, ordertime = FALSE, order_type = FALSE, order_subtype = FALSE, transaction_type = FALSE, discontinue_of_poe_id = FALSE, discontinued_by_poe_id = FALSE, order_status = FALSE)"
"db_prescriptions_D.hadm.t"	"function"	"raw_extract"	"db_prescriptions_D.hadm.t"	"prescriptions"	"db_prescriptions_D.hadm.t( ..., xlsx = NULL, all = FALSE, subject_id, hadm_id = T, poe_seq, poe_id, pharmacy_id, starttime, stoptime, drug_type, drug, drugYesNo = F, CN, formulary_drug_cd, gsn, ndc, prod_strength, form_rx, dose_val_rx, dose_unit_rx, form_val_disp, form_unit_disp, doses_per_24_hrs, route, view = T, file = NULL )"	"prescriptions"	"db_prescriptions_D.hadm.t(xlsx = NULL, all = FALSE, subject_id = FALSE, hadm_id = T, poe_seq = FALSE, poe_id = FALSE, pharmacy_id = FALSE, starttime = FALSE, stoptime = FALSE, drug_type = FALSE, drug = FALSE, drugYesNo = F, CN = NULL, formulary_drug_cd = FALSE, gsn = FALSE, ndc = FALSE, prod_strength = FALSE, form_rx = FALSE, dose_val_rx = FALSE, dose_unit_rx = FALSE, form_val_disp = FALSE, form_unit_disp = FALSE, doses_per_24_hrs = FALSE, route = FALSE, view = T, file = NULL)"
"db_procedure.events_d.icu.t"	"function"	"raw_extract"	"db_procedure.events_d.icu.t"	"procedureevents"	"db_procedure.events_d.icu.t( ..., id = NULL, all = FALSE, subject_id, hadm_id, stay_id = T, starttime, endtime, storetime, itemid, label, value, valueuom, location, locationcategory, orderid, linkorderid, ordercategoryname, ordercategorydescription, patientweight, isopenbag, continueinnextdept, statusdescription, originalamount, originalrate, view = TRUE )"	"procedureevents"	"db_procedure.events_d.icu.t(id = NULL, all = FALSE, subject_id = FALSE, hadm_id = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, storetime = FALSE, itemid = FALSE, label = FALSE, value = FALSE, valueuom = FALSE, location = FALSE, locationcategory = FALSE, orderid = FALSE, linkorderid = FALSE, ordercategoryname = FALSE, ordercategorydescription = FALSE, patientweight = FALSE, isopenbag = FALSE, continueinnextdept = FALSE, statusdescription = FALSE, originalamount = FALSE, originalrate = FALSE, view = TRUE)"
"db_procedures_d.hadm"	"function"	"raw_extract"	"db_procedures_d.hadm"	"提取操作/手术数据"	"db_procedures_d.hadm( ..., icd9_start = NULL, icd10_start = NULL, icd9_between = NULL, icd10_between = NULL, xlsx = NULL, Newname = NULL, all = FALSE, subject_id, hadm_id, chartdate = F, long_title, code_yn, code_10, drop_no = F, view = T, file = NULL )"	"提取操作/手术数据"	"db_procedures_d.hadm(icd9_start = NULL, icd10_start = NULL, icd9_between = NULL, icd10_between = NULL, xlsx = NULL, Newname = NULL, all = FALSE, subject_id = FALSE, hadm_id = FALSE, chartdate = F, long_title = FALSE, code_yn = FALSE, code_10 = FALSE, drop_no = F, view = T, file = NULL)"
"db_procedures_d.hadm.t"	"function"	"raw_extract"	"db_procedures_d.hadm.t"	"提取操作/手术数据"	"db_procedures_d.hadm.t( ..., icd9_start = NULL, icd10_start = NULL, icd9_between = NULL, icd10_between = NULL, xlsx = NULL, Newname = NULL, all = FALSE, view = T, file = NULL )"	"提取操作/手术数据"	"db_procedures_d.hadm.t(icd9_start = NULL, icd10_start = NULL, icd9_between = NULL, icd10_between = NULL, xlsx = NULL, Newname = NULL, all = FALSE, view = T, file = NULL)"
"db_services_hadm.t"	"function"	"raw_extract"	"db_services_hadm.t"	"services"	"db_services_hadm.t( all = FALSE, subject_id, hadm_id, transfertime, prev_service, prev_service_Fullname, pre_CN, curr_service, curr_service_Fullname, curr_CN )"	"services"	"db_services_hadm.t(all = FALSE, subject_id = FALSE, hadm_id = FALSE, transfertime = FALSE, prev_service = FALSE, prev_service_Fullname = NULL, pre_CN = NULL, curr_service = FALSE, curr_service_Fullname = NULL, curr_CN = NULL)"
"db_transfers"	"function"	"raw_extract"	"db_transfers"	"transfers"	"db_transfers( all = FALSE, subject_id = T, hadm_id = T, transfer_id = T, eventtype, careunit, intime, outtime, transfer_staytime.min = FALSE )"	"transfers"	"db_transfers(all = FALSE, subject_id = T, hadm_id = T, transfer_id = T, eventtype = FALSE, careunit = FALSE, intime = FALSE, outtime = FALSE, transfer_staytime.min = FALSE)"
"death_discharge"	"function"	"outcome"	"death_discharge"	"icu病人的死亡(icu，普通病房，出院后)"	"death_discharge(all = FALSE, n = NULL, survival_days, status_01, status_yn)"	"icu病人的死亡(icu，普通病房，出院后)"	"death_discharge(all = FALSE, n = NULL, survival_days = FALSE, status_01 = FALSE, status_yn = FALSE)"
"death_hadm"	"function"	"outcome"	"death_hadm"	"icu病人的死亡（icu，普通病房）"	"death_hadm(all = FALSE, n = NULL, survival_days, status_01, status_yn)"	"icu病人的死亡（icu，普通病房）"	"death_hadm(all = FALSE, n = NULL, survival_days = FALSE, status_01 = FALSE, status_yn = FALSE)"
"death_hadm_nday"	"function"	"outcome"	"death_hadm_nday"	"death_hadm_nday"	"death_hadm_nday( all = FALSE, n = 30, survival_days, status_yn, status_01, Include.death.discharge = F )"	"death_hadm_nday"	"death_hadm_nday(all = FALSE, n = 30, survival_days = FALSE, status_yn = FALSE, status_01 = FALSE, Include.death.discharge = F)"
"death_icu"	"function"	"outcome"	"death_icu"	"icu病人的死亡(icu)"	"death_icu(all = FALSE, n = NULL, survival_days, status_01, status_yn)"	"icu病人的死亡(icu)"	"death_icu(all = FALSE, n = NULL, survival_days = FALSE, status_01 = FALSE, status_yn = FALSE)"
"death_icu_nday"	"function"	"outcome"	"death_icu_nday"	"death_icu_nday"	"death_icu_nday( all = FALSE, n = 30, survival_days, status_yn, status_01, Include.death.discharge = F )"	"death_icu_nday"	"death_icu_nday(all = FALSE, n = 30, survival_days = FALSE, status_yn = FALSE, status_01 = FALSE, Include.death.discharge = F)"
"death_subj"	"function"	"outcome"	"death_subj"	"death_subj"	"death_subj(all = FALSE, survival_days, status_01, status_yn)"	"death_subj"	"death_subj(all = FALSE, survival_days = FALSE, status_01 = FALSE, status_yn = FALSE)"
"del_day"	"function"	"utility"	"del_day"	"修改时间"	"del_day(x, p = 1)"	"修改时间"	"del_day(x = NULL, p = 1)"
"del_hour"	"function"	"utility"	"del_hour"	"修改时间"	"del_hour(x, p = 1)"	"修改时间"	"del_hour(x = NULL, p = 1)"
"del_minute"	"function"	"utility"	"del_minute"	"修改时间"	"del_minute(x, p = 1)"	"修改时间"	"del_minute(x = NULL, p = 1)"
"del_month"	"function"	"utility"	"del_month"	"修改时间"	"del_month(x, p = 1)"	"修改时间"	"del_month(x = NULL, p = 1)"
"del_second"	"function"	"utility"	"del_second"	"修改时间"	"del_second(x, p = 1)"	"修改时间"	"del_second(x = NULL, p = 1)"
"del_week"	"function"	"utility"	"del_week"	"修改时间"	"del_week(x, p = 1)"	"修改时间"	"del_week(x = NULL, p = 1)"
"del_year"	"function"	"utility"	"del_year"	"修改时间"	"del_year(x, p = 1)"	"修改时间"	"del_year(x = NULL, p = 1)"
"dex_Braden_icu.t"	"function"	"derived_index"	"dex_Braden_icu.t"	"dex_Braden_icu.t"	"dex_Braden_icu.t( all = FALSE, stay_id = T, charttime = T, Braden = T, Sensory.Perception, Moisture, Activity, Mobility, Nutrition, Friction.Shear )"	"dex_Braden_icu.t"	"dex_Braden_icu.t(all = FALSE, stay_id = T, charttime = T, Braden = T, Sensory.Perception = FALSE, Moisture = FALSE, Activity = FALSE, Mobility = FALSE, Nutrition = FALSE, Friction.Shear = FALSE)"
"dex_charlson_hadm"	"function"	"derived_index"	"dex_charlson_hadm"	"Charlson共病指数"	"dex_charlson_hadm( all = FALSE, hadm_id = T, charlson_comorbidity_index = \"Charlson_comorbidity_index\", age_score, myocardial_infarct, congestive_heart_failure, peripheral_vascular_disease, cerebrovascular_disease, dementia, chronic_pulmonary_disease, rheumatic_disease, peptic_ulcer_disease, mild_liver_disease, diabetes_without_cc, diabetes_with_cc, paraplegia, renal_disease, malignant_cancer, severe_liver_disease, metastatic_solid_tumor, aids )"	"Charlson共病指数"	"dex_charlson_hadm(all = FALSE, hadm_id = T, charlson_comorbidity_index = \"Charlson_comorbidity_index\", age_score = FALSE, myocardial_infarct = FALSE, congestive_heart_failure = FALSE, peripheral_vascular_disease = FALSE, cerebrovascular_disease = FALSE, dementia = FALSE, chronic_pulmonary_disease = FALSE, rheumatic_disease = FALSE, peptic_ulcer_disease = FALSE, mild_liver_disease = FALSE, diabetes_without_cc = FALSE, diabetes_with_cc = FALSE, paraplegia = FALSE, renal_disease = FALSE, malignant_cancer = FALSE, severe_liver_disease = FALSE, metastatic_solid_tumor = FALSE, aids = FALSE)"
"dex_eGFR"	"function"	"derived_index"	"dex_eGFR"	"eGFR"	"dex_eGFR( data, all = FALSE, subject_id, hadm_id, stay_id, age, sex, race, weight, height, charttime, creat, creat_low_past_48hr, creat_low_past_7day, eGFR_CKD_EPI.2021, eGFR_CKD_EPI.2021_low_past_48hr, eGFR_CKD_EPI.2021_low_past_7day, eGFR_CKD_EPI.2009, eGFR_CKD_EPI.2009_low_past_48hr, eGFR_CKD_EPI.2009_low_past_7day, eGFR_MDRD.2007, eGFR_MDRD.2007_low_past_48hr, eGFR_MDRD.2007_low_past_7day, eGFR_Cockcroft_Gault.1976, eGFR_Cockcroft_Gault.1976_low_past_48hr, eGFR_Cockcroft_Gault.1976_low_past_7day, eGFR_FAS_age.2016, eGFR_FAS_age.2016_low_past_48hr, eGFR_FAS_age.2016_low_past_7day, eGFR_FAS_height.2016, eGFR_FAS_height.2016_low_past_48hr, eGFR_FAS_height.2016_low_past_7day, join = \"left\" )"	"eGFR"	"dex_eGFR(data = cohort_dat, all = FALSE, subject_id = FALSE, hadm_id = FALSE, stay_id = FALSE, age = FALSE, sex = FALSE, race = FALSE, weight = FALSE, height = FALSE, charttime = FALSE, creat = FALSE, creat_low_past_48hr = FALSE, creat_low_past_7day = FALSE, eGFR_CKD_EPI.2021 = FALSE, eGFR_CKD_EPI.2021_low_past_48hr = FALSE, eGFR_CKD_EPI.2021_low_past_7day = FALSE, eGFR_CKD_EPI.2009 = FALSE, eGFR_CKD_EPI.2009_low_past_48hr = FALSE, eGFR_CKD_EPI.2009_low_past_7day = FALSE, eGFR_MDRD.2007 = FALSE, eGFR_MDRD.2007_low_past_48hr = FALSE, eGFR_MDRD.2007_low_past_7day = FALSE, eGFR_Cockcroft_Gault.1976 = FALSE, eGFR_Cockcroft_Gault.1976_low_past_48hr = FALSE, eGFR_Cockcroft_Gault.1976_low_past_7day = FALSE, eGFR_FAS_age.2016 = FALSE, eGFR_FAS_age.2016_low_past_48hr = FALSE, eGFR_FAS_age.2016_low_past_7day = FALSE, eGFR_FAS_height.2016 = FALSE, eGFR_FAS_height.2016_low_past_48hr = FALSE, eGFR_FAS_height.2016_low_past_7day = FALSE, join = \"left\")"
"dex_GCS_icu.t"	"function"	"derived_index"	"dex_GCS_icu.t"	"GCS评分"	"dex_GCS_icu.t( all = FALSE, stay_id = T, charttime, gcs, gcs_motor, gcs_verbal, gcs_eyes, gcs_unable )"	"GCS评分"	"dex_GCS_icu.t(all = FALSE, stay_id = T, charttime = FALSE, gcs = NULL, gcs_motor = NULL, gcs_verbal = NULL, gcs_eyes = NULL, gcs_unable = NULL)"
"dex_MELD_icu"	"function"	"derived_index"	"dex_MELD_icu"	"MELD"	"dex_MELD_icu( data, all = FALSE, subject_id, hadm_id, stay_id = T, meld = \"MELD\", rrt, creatinine_mg.dL_max, bilirubin_total_mg.dL_max, INR_max, sodium_mEq.L_min, join = \"left\" )"	"MELD"	"dex_MELD_icu(data = cohort_dat, all = FALSE, subject_id = FALSE, hadm_id = FALSE, stay_id = T, meld = \"MELD\", rrt = FALSE, creatinine_mg.dL_max = FALSE, bilirubin_total_mg.dL_max = FALSE, INR_max = FALSE, sodium_mEq.L_min = FALSE, join = \"left\")"
"dex_sepis3_icu"	"function"	"derived_index"	"dex_sepis3_icu"	"脓毒症人群，没有非脓毒症的人"	"dex_sepis3_icu( all = FALSE, sepsis3, sepsis_time, suspected_infection_time, sofa_time, sofa_score, respiration, coagulation, liver, cardiovascular, cns, renal )"	"The diagnosis of sepsis was in accordance with Sepsis-3.0, with specific criteria of sequential organ failure assessment (SOFA) score ≥2 and infection or suspected infection 参考文献doi:10.1001/jama.2016.0287"	"dex_sepis3_icu(all = FALSE, sepsis3 = FALSE, sepsis_time = NULL, suspected_infection_time = FALSE, sofa_time = FALSE, sofa_score = FALSE, respiration = FALSE, coagulation = FALSE, liver = FALSE, cardiovascular = FALSE, cns = FALSE, renal = FALSE)"
"dex_sofa_icu.t"	"function"	"derived_index"	"dex_sofa_icu.t"	"dex_sofa_icu.t"	"dex_sofa_icu.t( all = FALSE, stay_id = T, hr, sofa_24hours, respiration_24hours, coagulation_24hours, liver_24hours, cardiovascular_24hours, cns_24hours, renal_24hours, starttime, endtime, pao2fio2ratio_novent, pao2fio2ratio_vent, rate_epinephrine, rate_norepinephrine, rate_dopamine, rate_dobutamine, meanbp_min, gcs_min, uo_24hr, bilirubin_max, creatinine_max, platelet_min, respiration, coagulation, liver, cardiovascular, cns, renal, subject_id = F, hadm_id = F )"	"dex_sofa_icu.t"	"dex_sofa_icu.t(all = FALSE, stay_id = T, hr = FALSE, sofa_24hours = FALSE, respiration_24hours = FALSE, coagulation_24hours = FALSE, liver_24hours = FALSE, cardiovascular_24hours = FALSE, cns_24hours = FALSE, renal_24hours = FALSE, starttime = FALSE, endtime = FALSE, pao2fio2ratio_novent = FALSE, pao2fio2ratio_vent = FALSE, rate_epinephrine = FALSE, rate_norepinephrine = FALSE, rate_dopamine = FALSE, rate_dobutamine = FALSE, meanbp_min = FALSE, gcs_min = FALSE, uo_24hr = FALSE, bilirubin_max = FALSE, creatinine_max = FALSE, platelet_min = FALSE, respiration = FALSE, coagulation = FALSE, liver = FALSE, cardiovascular = FALSE, cns = FALSE, renal = FALSE, subject_id = F, hadm_id = F)"
"diag_AIDS.HIV_hadm"	"function"	"diagnosis"	"diag_AIDS.HIV_hadm"	"AIDS"	"diag_AIDS.HIV_hadm( all = FALSE, hadm_id = T, long_title, code_yn, code_10, view = T )"	"ICD9: start with 042, 043, 044 ICD10: start with B20, B21, B22, B24"	"diag_AIDS.HIV_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = FALSE, code_10 = FALSE, view = T)"
"diag_AKI.kdigo_icu"	"function"	"diagnosis"	"diag_AKI.kdigo_icu"	"diag_AKI.kdigo_icu"	"diag_AKI.kdigo_icu(all = FALSE, stay_id = T, aki_stage = \"AKI_stage\")"	"diag_AKI.kdigo_icu"	"diag_AKI.kdigo_icu(all = FALSE, stay_id = T, aki_stage = \"AKI_stage\")"
"diag_AKI.kdigo_icu.t"	"function"	"diagnosis"	"diag_AKI.kdigo_icu.t"	"diag_AKI.kdigo_icu.t"	"diag_AKI.kdigo_icu.t( all = FALSE, stay_id = T, charttime, aki_stage, aki_stage_smoothed, creat_low_past_7day, creat_low_past_48hr, creat, aki_stage_creat, uo_rt_6hr, uo_rt_12hr, uo_rt_24hr, aki_stage_uo, aki_stage_crrt, subject_id = F, hadm_id = F )"	"diag_AKI.kdigo_icu.t"	"diag_AKI.kdigo_icu.t(all = FALSE, stay_id = T, charttime = FALSE, aki_stage = FALSE, aki_stage_smoothed = FALSE, creat_low_past_7day = FALSE, creat_low_past_48hr = FALSE, creat = FALSE, aki_stage_creat = FALSE, uo_rt_6hr = FALSE, uo_rt_12hr = FALSE, uo_rt_24hr = FALSE, aki_stage_uo = FALSE, aki_stage_crrt = FALSE, subject_id = F, hadm_id = F)"
"diag_ARDS_hadm"	"function"	"diagnosis"	"diag_ARDS_hadm"	"ARDS"	"diag_ARDS_hadm( subject_id = F, hadm_id = T, long_title = F, code_yn = \"ARDS\", code_10 = F, drop_no = F )"	"ARDS"	"diag_ARDS_hadm(subject_id = F, hadm_id = T, long_title = F, code_yn = \"ARDS\", code_10 = F, drop_no = F)"
"diag_Cerebrovascular.disease_hadm"	"function"	"diagnosis"	"diag_Cerebrovascular.disease_hadm"	"Cerebrovascular.disease"	"diag_Cerebrovascular.disease_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Cerebrovascular.disease\", code_10, view = T )"	"ICD9: start with 36234 ICD9: bwtween 430 and 438 ICD10: start with G45, G46, H340 ICD10: bwtween I60 and I69"	"diag_Cerebrovascular.disease_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Cerebrovascular.disease\", code_10 = FALSE, view = T)"
"diag_Chronic.pulmonary.disease_hadm"	"function"	"diagnosis"	"diag_Chronic.pulmonary.disease_hadm"	"Chronic.pulmonary.disease"	"diag_Chronic.pulmonary.disease_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Chronic_pulmonary_disease\", code_10, view = T )"	"ICD9: start with 36234 ICD9: bwtween 430 and 438 ICD10: start with G45, G46, H340 ICD10: bwtween I60 and I69"	"diag_Chronic.pulmonary.disease_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Chronic_pulmonary_disease\", code_10 = FALSE, view = T)"
"diag_CKD_hadm"	"function"	"diagnosis"	"diag_CKD_hadm"	"CKD"	"diag_CKD_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"CKD_yn\", code_10 )"	"CKD"	"diag_CKD_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"CKD_yn\", code_10 = FALSE)"
"diag_Congestive.heart.failure_hadm"	"function"	"diagnosis"	"diag_Congestive.heart.failure_hadm"	"Congestive heart failure"	"diag_Congestive.heart.failure_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Congestive_heart_failure\", code_10, view = F )"	"ICD9以428,39891, 40201, 40211, 40291, 40401, 40403, 40411, 40413, 40491, 40493开头，从4254到4259 ICD10以I43, I50, I099, I110, I130, I132, I255, I420, I425, I426, I427, I428, I429, P290开头"	"diag_Congestive.heart.failure_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Congestive_heart_failure\", code_10 = FALSE, view = F)"
"diag_Dementia_hadm"	"function"	"diagnosis"	"diag_Dementia_hadm"	"Dementia"	"diag_Dementia_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Dementia\", code_10, view = T )"	"ICD9: start with 290,2941, 3312 ICD10: start with F00, F01, F02, F03, G30,F051, G311"	"diag_Dementia_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Dementia\", code_10 = FALSE, view = T)"
"diag_Diabetes.with.chronic.complication_hadm"	"function"	"diagnosis"	"diag_Diabetes.with.chronic.complication_hadm"	"Diabetes.with.chronic.complication"	"diag_Diabetes.with.chronic.complication_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Diabetes.with.cc\", code_10, view = T )"	"ICD9: start with 2504, 2505, 2506, 2507 ICD10: start with E102, E103, E104, E105, E107, E112, E113, E114, E115, E117, E122, E123, E124, E125, E127, E132, E133, E134, E135, E137, E142, E143, E144, E145, E147"	"diag_Diabetes.with.chronic.complication_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Diabetes.with.cc\", code_10 = FALSE, view = T)"
"diag_Diabetes.without.chronic.complication_hadm"	"function"	"diagnosis"	"diag_Diabetes.without.chronic.complication_hadm"	"Diabetes.without.chronic.complication"	"diag_Diabetes.without.chronic.complication_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Diabetes.without.cc\", code_10, view = T )"	"ICD9: start with 2500, 2501, 2502, 2503, 2508, 2509 ICD10: start with E100, E101, E106, E108, E109, E110, E111, E116, E118, E119, E120, E121, E126, E128, E129, E130, E131, E136, E138, E139, E140, E141, E146, E148, E149"	"diag_Diabetes.without.chronic.complication_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Diabetes.without.cc\", code_10 = FALSE, view = T)"
"diag_diabetes_hadm"	"function"	"diagnosis"	"diag_diabetes_hadm"	"diabetes"	"diag_diabetes_hadm( subject_id = F, hadm_id = T, long_title = F, code_yn = \"diabetes\", code_10 = F, drop_no = F )"	"diabetes"	"diag_diabetes_hadm(subject_id = F, hadm_id = T, long_title = F, code_yn = \"diabetes\", code_10 = F, drop_no = F)"
"diag_Hemiplegia.paraplegia_hadm"	"function"	"diagnosis"	"diag_Hemiplegia.paraplegia_hadm"	"Hemiplegia.paraplegia"	"diag_Hemiplegia.paraplegia_hadm( all = FALSE, hadm_id = T, long_title, code_yn = \"Hemiplegia.paraplegia\", code_10, view = T )"	"ICD9: start with 342, 343,3341, 3440, 3441, 3442, 3443, 3444, 3445, 3446, 3449 ICD10: start with G81, G82,G041, G114, G801, G802, G830, G831, G832, G833, G834, G839"	"diag_Hemiplegia.paraplegia_hadm(all = FALSE, hadm_id = T, long_title = FALSE, code_yn = \"Hemiplegia.paraplegia\", code_10 = FALSE, view = T)"
"diag_Hypertension_hadm"	"function"	"diagnosis"	"diag_Hypertension_hadm"	"Hypertension"	"diag_Hypertension_hadm( subject_id = F, hadm_id = T, long_title = F, code_yn = \"Hypertension\", code_10 = F, drop_no = F )"	"链接:高血压.xlsx"	"diag_Hypertension_hadm(subject_id = F, hadm_id = T, long_title = F, code_yn = \"Hypertension\", code_10 = F, drop_no = F)"
